FJ Accounts Receivable Aging Report ,,,,,,,,,,,,,,,,,,,
Legal Entity,"Alpha Ducts LLC,Alpine Coils Industry LLC,DC Serve Equipment Trading LLC,Euroclima Middle East Central Air Conditioning Equipment Manufacturing LLC,FJ Care Air Condition Trading LLC,FJ Care Technical Services LLC,FJ Electrical Engineering and General Trading Co. Limited,FJ Industries WLL,FJ Trading and Engineering Co. WLL,Faisal Jassem Trading Company LLC,Faisal Jassim Al Dosari Trading Owned By Faisal Jassim Mohammad Aldosari One Person Co. LLC,Faisal Jassim Engineering and Trading Co. LLC,Faisal Jassim Industries LLC,Faisal Jassim Trading Co. LLC,Flowtech Air Distribution Industries LLC,Future Journey Energy Solutions LLC,Metaform Industries LLC,Multiplast Dubai LLC,Raphael Khlat India Private Limited,Raphael Khlat Middle East FZCO,Tawreed Co. LLC,Tawreed Integrated Industries,ZZZ_DO_NOT_USE_IRQOLD",,,,,,,,,,,,,,,,,,
Division,"4010-Air Handling Unit,4020-Alpha Ducts,4030-Damper,4040-Alpine,4050-Insulation,4060-Busbar,4070-Chiller,4080-Corporate Administration,4090-Corporate Finance,4100-Corporate HR,4110-Corporate HSE & Internal Audit,4120-Corporate IT,4130-Corporate Logistics,4140-Corporate Management,4150-Corporate Marketing,4160-Corporate Procurement,4170-DC Serve,4180-Ducting ,4190-ECS Promaster,4200-ECS Promaster KSA,4210-Euroclima Middle East,4220-FJ Care,4230-FJ Energy,4240-FJ Iraq,4250-FJ Qatar Corporate,4260-Flowtech,4270-Flowtech KSA,4280-Lighting Solutions,4290-Metaform,4300-Multiplast KSA,4310-Multiplast UAE,4320-Pumps Aquaflo,4330-Pumps KSA,4340-Qatar MEP,4350-RKME ,4360-Ventilation Fans,4370-KSA Corporate,4380-DIP MPD Factory UAE",,,,,,,,,,,,,,,,,,
Business Unit,"Air Handling Unit KSA BU,Air Handling Unit UAE BU,Alpha Ducts KSA BU,Alpha Ducts Oman BU,Alpha Ducts Qatar BU,Alpha Ducts UAE BU,Alpine Coils General UAE BU,Alpine Coils UAE BU,Alpine Filter Frame UAE BU,Busbar UAE BU,Chiller UAE BU,Corporate Administration Abu Dhabi BU,Corporate Administration Dossari Trading UAE BU,Corporate Administration India BU,Corporate Administration Industries KSA BU,Corporate Administration Oman BU,Corporate Administration UAE BU,Corporate Finance India BU,Corporate Finance Industries KSA BU,Corporate Finance UAE BU,Corporate HR UAE BU,Corporate HSE & Internal Audit India BU,Corporate HSE & Internal Audit UAE BU,Corporate IT India BU,Corporate IT Industries KSA BU,Corporate IT UAE BU,Corporate Industries UAE BU,Corporate KSA BU,Corporate Logistics India BU,Corporate Logistics Industries KSA BU,Corporate Logistics UAE BU,Corporate Management UAE BU,Corporate Marketing UAE BU,Corporate Procurement UAE BU,DC Serve Cooling Tower KSA BU,DC Serve Cooling Tower Qatar BU,DC Serve Cooling Tower UAE BU,DC Serve General UAE BU,DC Serve Heat Exchanger KSA BU,DC Serve Heat Exchanger UAE BU,DC Serve KSA Operation UAE BU,DC Serve Qatar Operation UAE BU,DC Serve Valves KSA BU,DC Serve Valves Qatar BU,DC Serve Valves UAE BU,DCSM UAE BU,DIP MPD Factory UAE,Ducting FT Industries UAE BU,Ducting UAE BU,ECS Promaster India BU,ECS Promaster Industries KSA BU,ECS Promaster UAE BU,Euroclima Middle East AHU KSA BU,Euroclima Middle East AHU Qatar BU,Euroclima Middle East AHU UAE BU,Euroclima Middle East Export UAE BU,Euroclima Middle East FCU UAE BU,Euroclima Middle East General UAE BU,Euroclima Middle East KSA Operation UAE BU,Euroclima Middle East QTR Operation UAE BU,Euroclima Middle East Service UAE BU,FJ Care Casual Jobs UAE BU,FJ Care General UAE BU,FJ Care Projects UAE BU,FJ Care Services & AMC UAE BU,FJ Energy Boiler UAE BU,FJ Energy General UAE BU,FJ Energy KSA BU,FJ Energy KSA Operation UAE BU,FJ Energy Photovoltaic UAE BU,FJ Energy Plumbing UAE BU,FJ Energy Qatar BU,FJ Energy Qatar Operation UAE BU,FJ Energy Renewable UAE BU,FJ Energy Services UAE BU,FJ Iraq BU,FJ Iraq UAE BU,FJ Qatar Corporate BU,FJC AC Product Trading (FJC) UAE BU,FJC AC Product Trading KSA BU,FJC AC Product Trading UAE BU,FJC AC Spare Parts (FJC) UAE BU,FJC AC Spare Parts UAE BU,FJC AC Trading (FJC) UAE BU,FJC AC Trading UAE BU,Flowtech Dampers UAE BU,Flowtech FT Industries UAE BU,Flowtech Industries KSA BU,Flowtech KSA BU,Flowtech Oman BU,Flowtech Qatar BU,Flowtech UAE BU,Insulation KSA BU,Insulation Trading UAE BU,Insulation UAE BU,Lighting Solutions KSA BU,Lighting Solutions UAE BU,Metaform Access Panel Solution UAE BU,Metaform Architectural Metal Solution UAE BU,Metaform General Fabrication Solution UAE BU,Metaform General UAE BU,Metaform High-Performance Opening Solution UAE BU,Metaform KSA BU,Metaform Metal Enclosure Solution UAE BU,Metaform Metal Profile Solution UAE BU,Metaform POD UAE BU,Multiplast Industries KSA BU,Multiplast KSA BU,Multiplast UAE BU,Nationalisation Industries UAE BU,Nationalisation KSA BU,Nationalisation KSA Industries BU,Nationalisation UAE BU,Nationalization FT Industries UAE BU,Pumps Aquaflo General UAE BU,Pumps Aquaflo India BU,Pumps Aquaflo KSA BU,Pumps Aquaflo Oman BU,Pumps Aquaflo Service Oman BU,Pumps Aquaflo Service UAE BU,Pumps Aquaflo UAE BU,Qatar MEP BU,RKME UAE BU,Ventilation Fans Trading UAE BU,Ventilation Fans UAE BU",,,,,,,,,,,,,,,,,,
GL Code,All ,,,,,,,,,,,,,,,,,,
Aging As on,31/03/2026,,,,,,,,,,,,,,,,,,
Report Currency,Accounted,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Legal Entity,Division,Business Unit,GL Code,Customer Type,Customer Registry ID,Customer Account Number,Name of Customer,Country of customer,Currency,Total Receivable Value,Current/Not Due,0-30 days,31-60 days,61-90 days,91-120 days,121-180 days,181-365 days,366 to 730 days,Above 730 days
Faisal Jassim Industries LLC,‭4320‬,Pumps Aquaflo UAE BU,‭121202-PDC Receipts‬,External,‭101446‬,306-101446,BK GULF LLC,AE,AED,"15,120.00",0.00,0.00,"15,120.00",0.00,0.00,0.00,0.00,0.00,0.00
Raphael Khlat Middle East FZCO,‭4350‬,RKME UAE BU,‭121204-Unapplied Receipts‬,External,‭108862‬,317-108862,JUGNOO TRANSPORT BY HEAVY TRUCKS LLC,AE,AED,"-42,000.00",0.00,0.00,"-42,000.00",0.00,0.00,0.00,0.00,0.00,0.00
Raphael Khlat Middle East FZCO,‭4350‬,RKME UAE BU,‭121204-Unapplied Receipts‬,External,‭108877‬,317-108877,METITO OPERATION AND MAINTENANCE FZE,AE,AED,"-3,52,000.00",0.00,"-3,52,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
Faisal Jassim Trading Co. LLC,‭4060‬,Busbar UAE BU,‭121202-PDC Receipts‬,External,‭100489‬,307-100489,AL HOSON AL MASI TECHNICAL WORKS LLC,AE,AED,"49,095.59",0.00,0.00,0.00,0.00,"49,095.59",0.00,0.00,0.00,0.00
FJ Care Air Condition Trading LLC,‭4220‬,FJC AC Trading UAE BU,‭121202-PDC Receipts‬,External,‭103574‬,308-103574,MAGMA ELECTROMECHANICAL WORKS LLC,AE,AED,"2,06,421.00",0.00,"2,06,421.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
FJ Care Technical Services LLC,‭4220‬,FJC AC Spare Parts (FJC) UAE BU,‭121204-Unapplied Receipts‬,External,‭103435‬,309-103435,LANMAX AIR CONDITION SPARE PARTS TRADING LLC,AE,AED,"-22,365.00",0.00,0.00,"-22,365.00",0.00,0.00,0.00,0.00,0.00,0.00
DC Serve Equipment Trading LLC,‭4170‬,DC Serve Valves UAE BU,‭121204-Unapplied Receipts‬,External,‭105656‬,303-105656,UNITED MASTERS ELECTROMECHANICAL LLC,AE,AED,"-2,651.44",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-2,651.44"
DC Serve Equipment Trading LLC,‭4170‬,DC Serve Valves UAE BU,‭121204-Unapplied Receipts‬,External,‭105531‬,303-105531,TORNADO GROUP,AE,AED,"-7,890.01",0.00,0.00,"-7,890.01",0.00,0.00,0.00,0.00,0.00,0.00
DC Serve Equipment Trading LLC,‭4170‬,DC Serve Valves UAE BU,‭121204-Unapplied Receipts‬,External,‭102126‬,303-102126,EFS FACILITIES MANAGEMENT SERVICES LLC - ABU DHABI,AE,AED,-0.28,0.00,0.00,0.00,-0.28,0.00,0.00,0.00,0.00,0.00
Faisal Jassim Industries LLC,‭4180‬,Ducting UAE BU,‭121204-Unapplied Receipts‬,External,‭100659‬,306-100659,AL MUTHATHAWERAH A/C SYSTEMS ACCESSORIES IND. CENTER L.L.C (MACS),AE,AED,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01
Faisal Jassim Industries LLC,‭4050‬,Insulation UAE BU,‭121202-PDC Receipts‬,External,‭102657‬,306-102657,GINCO ELECTRICAL & SANITARY TRADING CO LLC(GESCO),AE,AED,"24,607.28",0.00,"15,475.74",0.00,"9,131.54",0.00,0.00,0.00,0.00,0.00
Faisal Jassim Industries LLC,‭4050‬,Insulation UAE BU,‭121204-Unapplied Receipts‬,External,‭101808‬,306-101808,CREATEFUTURE BUILDING HARDWARE & TOOLS TRADING CO. LLC,AE,AED,-575.00,0.00,-575.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FJ Care Technical Services LLC,‭4220‬,FJ Care Casual Jobs UAE BU,‭121401-Due from Inter Division‬,External,‭105214‬,309-105214,STREIT SECURITY VEHICLES FZE,AE,AED,"17,325.00",0.00,0.00,0.00,0.00,0.00,"17,325.00",0.00,0.00,0.00
Faisal Jassim Industries LLC,‭4320‬,Pumps Aquaflo General UAE BU,‭121401-Due from Inter Division‬,External,‭102658‬,306-102658,GINCO ELECTROMECHANICAL CONTRACTING LLC,AE,AED,"9,67,191.33",0.00,0.00,0.00,0.00,0.00,"9,67,191.33",0.00,0.00,0.00
Faisal Jassim Trading Co. LLC,‭4080‬,Corporate Administration UAE BU,‭121401-Due from Inter Division‬,Internal,‭101027‬,101027,ALPINE COILS INDUSTRY LLC (R),AE,AED,"28,139.61",0.00,0.00,0.00,0.00,0.00,"28,139.61",0.00,0.00,0.00
Faisal Jassim Trading Co. LLC,‭4080‬,Corporate Administration UAE BU,‭121401-Due from Inter Division‬,Internal,‭103998‬,103998,MULTIPLAST DUBAI LLC (R),AE,AED,"1,52,769.11",0.00,0.00,0.00,0.00,0.00,"1,52,769.11",0.00,0.00,0.00
Faisal Jassim Trading Co. LLC,‭4080‬,Corporate Administration UAE BU,‭121401-Due from Inter Division‬,Internal,‭101889‬,101889,DC SERVE EQUIPMENT TRADING LLC (R),AE,AED,"83,724.03",0.00,0.00,0.00,0.00,0.00,"83,724.03",0.00,0.00,0.00
FJ Care Technical Services LLC,‭4220‬,FJC AC Product Trading (FJC) UAE BU,‭121401-Due from Inter Division‬,External,‭104101‬,309-104101,NEWELL ELECTRO MECHANICAL WORKS LLC,AE,AED,"31,685.85",0.00,0.00,0.00,0.00,0.00,"31,685.85",0.00,0.00,0.00
DC Serve Equipment Trading LLC,‭4170‬,DC Serve Cooling Tower UAE BU,‭121401-Due from Inter Division‬,External,‭102517‬,303-102517,FLOW STAR GENERAL TRADING LLC SP,AE,AED,"9,225.39",0.00,0.00,0.00,0.00,0.00,"9,225.39",0.00,0.00,0.00
FJ Care Technical Services LLC,‭4220‬,FJC AC Product Trading (FJC) UAE BU,‭121204-Unapplied Receipts‬,External,‭101364‬,309-101364,BELCO ELECTROMECHANICAL LLC,AE,AED,"-1,130.29",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-1,130.29"
FJ Trading and Engineering Co. WLL,‭4250‬,FJ Qatar Corporate BU,‭121204-Unapplied Receipts‬,External,‭109031‬,312-109031,Intelligent Design Qatar,QA,QAR,-280.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-280.00
FJ Trading and Engineering Co. WLL,‭4340‬,Qatar MEP BU,‭121204-Unapplied Receipts‬,External,‭107378‬,312-107378,ESHAILSAT (QATAR SATELLITE COMPANY),QA,QAR,"-36,062.51",0.00,0.00,0.00,0.00,0.00,0.00,"-36,062.51",0.00,0.00
Future Journey Energy Solutions LLC,‭4230‬,FJ Energy Plumbing UAE BU,‭121204-Unapplied Receipts‬,External,‭100072‬,313-100072,ABR AL MUTAWASSIT CONTRACTING CO. LLC,AE,AED,"-1,300.00",0.00,0.00,0.00,0.00,"-1,300.00",0.00,0.00,0.00,0.00
Tawreed Co. LLC,‭4330‬,Pumps Aquaflo KSA BU,‭121204-Unapplied Receipts‬,External,‭108196‬,318-108196,EXPRESS SUPPLY FOR TRADING EST,SA,SAR,"-5,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-5,000.00"
Flowtech Air Distribution Industries LLC,‭4260‬,Flowtech FT Industries UAE BU,‭121202-PDC Receipts‬,External,‭105552‬,322-105552,TRANS EMIRATES ELECTRICAL & MECHANICAL WORKS LLC,AE,AED,"3,318.84",0.00,"3,318.84",0.00,0.00,0.00,0.00,0.00,0.00,0.00
Euroclima Middle East Central Air Conditioning Equipment Manufacturing LLC,‭4210‬,Euroclima Middle East AHU UAE BU,‭121204-Unapplied Receipts‬,External,‭101573‬,304-101573,CAMFIL MIDDLE EAST FZE,AE,AED,"-76,991.13",0.00,0.00,0.00,-5.13,0.00,0.00,"-76,986.00",0.00,0.00
Faisal Jassim Industries LLC,‭4260‬,Flowtech UAE BU,‭121204-Unapplied Receipts‬,External,‭100378‬,306-100378,AL EGABY GEN. TR. LLC,AE,AED,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00
Faisal Jassim Industries LLC,‭4260‬,Flowtech UAE BU,‭121204-Unapplied Receipts‬,External,‭101245‬,306-101245,ATHEER AL JAZIRAH ELECTROMECHANICAL WORKS LLC,AE,AED,-2.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.00,0.00,0.00
Faisal Jassim Industries LLC,‭4260‬,Flowtech UAE BU,‭121204-Unapplied Receipts‬,External,‭103671‬,306-103671,MAWARED AL SHARQ CONSTRUCTION - LLC - OPC,AE,AED,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00
Faisal Jassim Industries LLC,‭4260‬,Flowtech UAE BU,‭121204-Unapplied Receipts‬,External,‭104448‬,306-104448,PRIME A/C INDUSTRIES LLC,AE,AED,-0.47,0.00,0.00,0.00,0.00,0.00,-0.47,0.00,0.00,0.00
Faisal Jassim Industries LLC,‭4260‬,Flowtech UAE BU,‭121204-Unapplied Receipts‬,External,‭102306‬,306-102306,ENERGY SAVERS TECHNICAL SERVICES LLC,AE,AED,"-30,354.25",0.00,0.00,0.00,0.00,0.00,"-30,354.25",0.00,0.00,0.00
Faisal Jassim Industries LLC,‭4260‬,Flowtech UAE BU,‭121204-Unapplied Receipts‬,External,‭103559‬,306-103559,MADA INTERNATIONAL ELECTRO MECH. CONT. L L C,AE,AED,-183.27,0.00,0.00,-182.41,0.00,-0.22,0.00,-0.64,0.00,0.00
FJ Care Air Condition Trading LLC,‭4220‬,FJC AC Trading UAE BU,‭121202-PDC Receipts‬,External,‭100689‬,308-100689,AL NEJOUD A/C UNITS FIX. CONT,AE,AED,"38,654.00",0.00,"38,654.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
DC Serve Equipment Trading LLC,‭4170‬,DC Serve Valves UAE BU,‭121204-Unapplied Receipts‬,External,‭120189‬,303-120189,DBEST BUILDING HARDWARE AND TOOLS TRADING LLC,AE,AED,"-14,041.48",0.00,0.00,0.00,0.00,0.00,"-14,041.48",0.00,0.00,0.00
Euroclima Middle East Central Air Conditioning Equipment Manufacturing LLC,‭4210‬,Euroclima Middle East Export UAE BU,‭121204-Unapplied Receipts‬,External,‭177220‬,304-177220,ENERGEX FOR SAFETY AND ELECTROMECHANICAL SERVICES WLL,BH,EUR,"-14,450.00",0.00,0.00,"-14,450.00",0.00,0.00,0.00,0.00,0.00,0.00
Faisal Jassim Industries LLC,‭4180‬,Ducting UAE BU,‭121204-Unapplied Receipts‬,External,‭103448‬,306-103448,LEADERS AIR CONDITIONING LLC,AE,AED,"-32,997.82",0.00,0.00,0.00,"-25,000.00",0.00,"-7,997.82",0.00,0.00,0.00
Faisal Jassim Industries LLC,‭4180‬,Ducting UAE BU,‭121202-PDC Receipts‬,External,‭101585‬,306-101585,CARAWAN ELECTRICAL & MECHANICAL WORKS LLC,AE,AED,"5,99,032.36",0.00,"3,02,065.61","2,96,966.75",0.00,0.00,0.00,0.00,0.00,0.00
Faisal Jassim Industries LLC,‭4190‬,ECS Promaster UAE BU,‭121204-Unapplied Receipts‬,External,‭101313‬,306-101313,BAHRAIN & EMIRATES ELECTRICAL & MECHANICAL CONTRACTING LLC (BEMCO),AE,AED,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00
Faisal Jassim Industries LLC,‭4190‬,ECS Promaster UAE BU,‭121401-Due from Inter Division‬,External,‭105574‬,306-105574,TRINITY MEP CONTRACTING LLC,AE,AED,"1,230.60",0.00,"1,230.60",0.00,0.00,0.00,0.00,0.00,0.00,0.00
FJ Care Technical Services LLC,‭4220‬,FJ Care Casual Jobs UAE BU,‭121401-Due from Inter Division‬,External,‭103538‬,309-103538,M/S R.K.M. REAL ESTATE,AE,AED,"9,187.00",0.00,"9,187.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
Faisal Jassim Industries LLC,‭4260‬,Flowtech UAE BU,‭121401-Due from Inter Division‬,External,‭104040‬,306-104040,NASCON ENGINEERING LIMITED - ABU DHABI,AE,AED,"10,149.55",0.00,0.00,0.00,126.00,0.00,0.00,"10,023.55",0.00,0.00
Faisal Jassim Trading Co. LLC,‭4080‬,Corporate Administration UAE BU,‭121401-Due from Inter Division‬,External,‭103776‬,307-103776,METITO (OVERSEAS) LIMITED,AE,AED,"3,20,838.80",0.00,"3,20,838.80",0.00,0.00,0.00,0.00,0.00,0.00,0.00
Faisal Jassim Industries LLC,‭4320‬,Pumps Aquaflo UAE BU,‭121401-Due from Inter Division‬,External,‭101655‬,306-101655,CHINA RAILWAY 18TH BUREAU GROUP LLC,AE,AED,"67,174.43",0.00,0.00,0.00,0.00,0.00,"67,174.43",0.00,0.00,0.00
FJ Care Air Condition Trading LLC,‭4220‬,FJC AC Spare Parts UAE BU,‭121401-Due from Inter Division‬,External,‭103769‬,308-103769,META SOLUTIONS AND SERVICES LLC,AE,AED,"5,040.00",0.00,0.00,0.00,0.00,"5,040.00",0.00,0.00,0.00,0.00
FJ Care Technical Services LLC,‭4220‬,FJ Care Projects UAE BU,‭223921-Advances from Customers‬,External,‭109048‬,309-109048,ALI HASHIMI AHMAD AL HASHIMI,AE,AED,"-20,991.55",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-20,991.55"
Future Journey Energy Solutions LLC,‭4230‬,FJ Energy Services UAE BU,‭121204-Unapplied Receipts‬,External,‭104152‬,313-104152,NOVOTEL HOTEL AL BUSTAN,AE,AED,"-4,903.50",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-4,903.50"
Tawreed Co. LLC,‭4020‬,Alpha Ducts KSA BU,‭121204-Unapplied Receipts‬,External,‭107938‬,318-107938,AKEL TRADING & INDUSTRIAL CO.,SA,SAR,"-3,683.78",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-3,683.78"
Tawreed Co. LLC,‭4290‬,Metaform KSA BU,‭121204-Unapplied Receipts‬,External,‭158172‬,318-158172,ALASCON COMPANY,SA,SAR,"-10,697.88",0.00,0.00,0.00,"-10,697.88",0.00,0.00,0.00,0.00,0.00
Faisal Jassim Industries LLC,‭4260‬,Flowtech UAE BU,‭121204-Unapplied Receipts‬,External,‭104308‬,306-104308,PARAMOUNT STAR ELECTROMECHANICAL SERVICES,AE,AED,-0.13,0.00,0.00,0.00,0.00,0.00,0.00,-0.13,0.00,0.00
Faisal Jassim Industries LLC,‭4260‬,Flowtech UAE BU,‭121204-Unapplied Receipts‬,External,‭104768‬,306-104768,ROYAL TECHNICAL CONTRACTING LLC,AE,AED,-47.00,0.00,0.00,0.00,-47.00,0.00,0.00,0.00,0.00,0.00
Raphael Khlat Middle East FZCO,‭4350‬,RKME UAE BU,‭121204-Unapplied Receipts‬,External,‭108824‬,317-108824,ASTERIX KRAFT WORKS (L.L.C),AE,AED,"-7,84,800.00",0.00,0.00,0.00,"-7,84,800.00",0.00,0.00,0.00,0.00,0.00
FJ Care Technical Services LLC,‭4220‬,FJC AC Spare Parts (FJC) UAE BU,‭121204-Unapplied Receipts‬,External,‭102990‬,309-102990,HOLFORD FACILITIES MANAGEMENT LLC,AE,AED,-222.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-222.50
Alpha Ducts LLC,‭4020‬,Alpha Ducts UAE BU,‭121204-Unapplied Receipts‬,External,‭116138‬,301-116138,PLANET ECO BUILDING MATERIALS L L C,AE,AED,-3.36,0.00,0.00,0.00,0.00,-3.36,0.00,0.00,0.00,0.00
Alpha Ducts LLC,‭4020‬,Alpha Ducts UAE BU,‭121204-Unapplied Receipts‬,External,‭105895‬,301-105895,ZED COOL TRADING LLC,AE,AED,-1.07,0.00,-1.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Faisal Jassim Industries LLC,‭4190‬,ECS Promaster UAE BU,‭121204-Unapplied Receipts‬,External,‭100894‬,306-100894,AL TURATH AL ASEEL CONTRACTING L.L.C.,AE,AED,-117.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-117.80,0.00
FJ Care Technical Services LLC,‭4220‬,FJ Care Services & AMC UAE BU,‭121401-Due from Inter Division‬,External,‭104023‬,309-104023,NAFFCO ELECTROMECHANICAL CO (LLC),AE,AED,"37,275.00",0.00,0.00,"37,275.00",0.00,0.00,0.00,0.00,0.00,0.00
Faisal Jassim Industries LLC,‭4260‬,Flowtech UAE BU,‭121401-Due from Inter Division‬,External,‭102274‬,306-102274,EMKAY GLOBAL ELECTROMECHANICAL WORKS LLC,AE,AED,2.10,0.00,0.00,0.00,0.00,0.00,0.00,2.10,0.00,0.00
Faisal Jassim Industries LLC,‭4260‬,Flowtech UAE BU,‭121401-Due from Inter Division‬,External,‭100644‬,306-100644,AL MUKAB INDUSTRIES LLC - SOLE PROPRIETORSHIP,AE,AED,"9,127.86",0.00,0.00,0.00,0.00,"9,127.86",0.00,0.00,0.00,0.00
Euroclima Middle East Central Air Conditioning Equipment Manufacturing LLC,‭4210‬,Euroclima Middle East General UAE BU,‭121401-Due from Inter Division‬,External,‭101242‬,304-101242,ASWAR ENGINEERING & GEN. CONTRACTING,AE,AED,"1,260.00",0.00,0.00,0.00,0.00,0.00,"1,260.00",0.00,0.00,0.00
Faisal Jassim Trading Co. LLC,‭4080‬,Corporate Administration UAE BU,‭121401-Due from Inter Division‬,External,‭103028‬,307-103028,HUTCHISON AJMAN INTERNATIONAL TERMINALS LIMITED FZE,AE,AED,"1,16,618.35",0.00,0.00,"65,318.43",0.00,0.00,"51,299.92",0.00,0.00,0.00
FJ Care Air Condition Trading LLC,‭4220‬,FJC AC Spare Parts UAE BU,‭121204-Unapplied Receipts‬,External,‭104808‬,308-104808,SACA CORP,AE,AED,"-2,650.00",0.00,0.00,0.00,0.00,0.00,0.00,"-2,650.00",0.00,0.00
FJ Care Air Condition Trading LLC,‭4220‬,FJC AC Spare Parts UAE BU,‭121204-Unapplied Receipts‬,External,‭103038‬,308-103038,HYBRON BUILDING MATERIALS LLC,AE,AED,"-1,659.00",0.00,0.00,0.00,0.00,0.00,"-1,659.00",0.00,0.00,0.00
FJ Care Air Condition Trading LLC,‭4220‬,FJC AC Spare Parts UAE BU,‭121401-Due from Inter Division‬,External,‭102152‬,308-102152,ELECTRO LOOTAH ELECTROMECHANICAL WORKS,AE,AED,"11,812.50",0.00,0.00,0.00,0.00,"11,812.50",0.00,0.00,0.00,0.00
Multiplast Dubai LLC,‭4310‬,Multiplast UAE BU,‭121204-Unapplied Receipts‬,External,‭101158‬,315-101158,ARCO ELECTROMECHANICAL LLC,AE,AED,"-17,066.87",0.00,0.00,"-17,066.87",0.00,0.00,0.00,0.00,0.00,0.00
Tawreed Co. LLC,‭4010‬,Air Handling Unit KSA BU,‭121204-Unapplied Receipts‬,External,‭119125‬,318-119125,BARAKA GENERAL CONTRACTING ESTABLISHMENT,SA,SAR,"-3,280.00",0.00,0.00,0.00,0.00,0.00,"-3,280.00",0.00,0.00,0.00
Euroclima Middle East Central Air Conditioning Equipment Manufacturing LLC,‭4210‬,Euroclima Middle East AHU UAE BU,‭121202-PDC Receipts‬,External,‭105274‬,304-105274,SYRINO ELECTRICAL CONTRACTING,AE,AED,"99,010.80",0.00,0.00,"9,865.80","89,145.00",0.00,0.00,0.00,0.00,0.00
Faisal Jassim Industries LLC,‭4260‬,Flowtech UAE BU,‭121204-Unapplied Receipts‬,External,‭103377‬,306-103377,KHANSAHEB INDUSTRIES OWNED BY KHANSAHEB INVESTMENT ONE PERSON CO LLC,AE,AED,-5.25,0.00,0.00,0.00,0.00,0.00,0.00,-5.25,0.00,0.00
Metaform Industries LLC,‭4290‬,Metaform Architectural Metal Solution UAE BU,‭121202-PDC Receipts‬,External,‭104340‬,314-104340,PERFECT BUILDING MATERIALS - LLC,AE,AED,"2,25,041.25",0.00,0.00,0.00,"9,880.50","2,15,160.75",0.00,0.00,0.00,0.00
FJ Care Air Condition Trading LLC,‭4220‬,FJC AC Trading UAE BU,‭121202-PDC Receipts‬,External,‭103059‬,308-103059,IAS LOOTAH CONTRACTING,AE,AED,"88,688.04",0.00,"88,688.04",0.00,0.00,0.00,0.00,0.00,0.00,0.00
FJ Care Technical Services LLC,‭4220‬,FJC AC Spare Parts (FJC) UAE BU,‭121204-Unapplied Receipts‬,External,‭104178‬,309-104178,OCEAN RUBBER FACTORY LLC,AE,AED,"-2,441.25",0.00,0.00,0.00,0.00,0.00,0.00,-918.75,"-1,522.50",0.00
DC Serve Equipment Trading LLC,‭4170‬,DC Serve Valves UAE BU,‭121204-Unapplied Receipts‬,External,‭100641‬,303-100641,AL MUHANAD MECH CONT. LLC,AE,AED,-144.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-144.85
DC Serve Equipment Trading LLC,‭4170‬,DC Serve Valves UAE BU,‭121204-Unapplied Receipts‬,External,‭102049‬,303-102049,DUCT MAX AC. UNITS FIX.CONT.,AE,AED,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00
DC Serve Equipment Trading LLC,‭4170‬,DC Serve Valves UAE BU,‭121204-Unapplied Receipts‬,External,‭108983‬,303-108983,B & N INTERNATIONAL LTD,NE,AED,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00
DC Serve Equipment Trading LLC,‭4170‬,DCSM UAE BU,‭223921-Advances from Customers‬,External,‭103617‬,303-103617,MANSIONS OWNERS ASSOCIATION MANAGEMENT,AE,AED,"-11,200.00",0.00,0.00,0.00,"-11,200.00",0.00,0.00,0.00,0.00,0.00
Euroclima Middle East Central Air Conditioning Equipment Manufacturing LLC,‭4210‬,Euroclima Middle East Export UAE BU,‭121204-Unapplied Receipts‬,External,‭106176‬,304-106176,PHARMARAD,EG,AED,"-36,280.00",0.00,0.00,0.00,"-36,280.00",0.00,0.00,0.00,0.00,0.00
